title,organization,rating,review_count,difficulty,course_type,duration,skills,title_tokenized,skills_tokenized,title_stopwordsized,skills_stopwordsized,title_lemmatized,skills_lemmatized
ibm data science,ibm,4.615297066031598,144446,beginner,professional certificate,three_to_six_months,exploratory data analysis data wrangling dashboard data visualization software data visualization sql unsupervised learning plotly interactive data visualization data transformation supervised learning jupyter data analysis data cleansing data manipulation data literacy data mining matplotlib generative ai professional networking,ibm data_science,exploratory_data_analysis data wrangling dashboard data_visualization_software data_visualization sql unsupervised_learning plotly interactive_data_visualization data_transformation supervised_learning jupyter data_analysis_data cleansing data_manipulation_data literacy_data_mining matplotlib generative ai professional networking,ibm data_science,exploratory_data_analysis data wrangling dashboard data_visualization_software data_visualization sql unsupervised_learning plotly interactive_data_visualization data_transformation supervised_learning jupyter data_analysis_data cleansing data_manipulation_data literacy_data_mining matplotlib generative ai professional networking,ibm data_science,exploratory_data_analysis data wrangling dashboard data_visualization_software data_visualization sql unsupervised_learning plotly interactive_data_visualization data_transformation supervised_learning jupyter data_analysis_data cleansing data_manipulation_data literacy_data_mining matplotlib generative ai professional networking
ibm data analyst,ibm,4.634533442368939,92936,beginner,professional certificate,three_to_six_months,exploratory data analysis data storytelling data wrangling dashboard data visualization software plotly data visualization sql generative ai interactive data visualization data transformation data analysis data cleansing jupyter big data ibm cognos analytics excel formulas python programming professional networking microsoft excel,ibm data analyst,exploratory_data_analysis data storytelling_data wrangling dashboard data_visualization_software plotly data_visualization sql generative ai interactive_data_visualization data_transformation_data analysis data_cleansing jupyter big_data ibm cognos analytics excel_formulas python_programming professional networking microsoft excel,ibm data analyst,exploratory_data_analysis data storytelling_data wrangling dashboard data_visualization_software plotly data_visualization sql generative ai interactive_data_visualization data_transformation_data analysis data_cleansing jupyter big_data ibm cognos analytics excel_formulas python_programming professional networking microsoft excel,ibm data analyst,exploratory_data_analysis data storytelling_data wrangling dashboard data_visualization_software plotly data_visualization sql generative ai interactive_data_visualization data_transformation_data analysis data_cleansing jupyter big_data ibm cognos analytics excel_formulas python_programming professional networking microsoft excel
ibm generative ai engineering,ibm,4.644188591542938,88636,beginner,professional certificate,three_to_six_months,exploratory data analysis prompt engineering data wrangling large language modeling unsupervised learning pytorch machine learning library generative ai chatgpt keras neural network library data transformation flask web framework supervised learning data analysis data cleansing data manipulation unit testing deep learning jupyter regression analysis data importexport,ibm generative ai engineering,exploratory_data_analysis prompt_engineering_data wrangling large_language_modeling unsupervised_learning pytorch_machine_learning library generative ai chatgpt keras neural network library data_transformation flask_web_framework supervised_learning data_analysis_data cleansing data_manipulation unit_testing deep_learning jupyter regression analysis_data_importexport,ibm generative ai engineering,exploratory_data_analysis prompt_engineering_data wrangling large_language_modeling unsupervised_learning pytorch_machine_learning library generative ai chatgpt keras neural network library data_transformation flask_web_framework supervised_learning data_analysis_data cleansing data_manipulation unit_testing deep_learning jupyter regression analysis_data_importexport,ibm generative ai engineering,exploratory_data_analysis prompt_engineering_data wrangling large_language_modeling unsupervised_learning pytorch_machine_learning library generative ai chatgpt kera neural network library data_transformation flask_web_framework supervised_learning data_analysis_data cleansing data_manipulation unit_testing deep_learning jupyter regression analysis_data_importexport
ibm ai developer,ibm,4.6413529610068505,71192,beginner,professional certificate,three_to_six_months,prompt engineering software development life cycle large language modeling software architecture chatgpt development environment flask web framework generative ai cascading style sheets css unit testing jupyter bootstrap frontend framework software design software development tools software engineering responsive web design python programming engineering software machine learning data science,ibm ai developer,prompt_engineering software_development_life cycle large_language_modeling software_architecture chatgpt development_environment flask_web_framework generative ai cascading style_sheets_css unit_testing jupyter bootstrap_frontend_framework software_design software_development_tools software_engineering responsive_web_design python_programming engineering_software machine_learning data_science,ibm ai developer,prompt_engineering software_development_life cycle large_language_modeling software_architecture chatgpt development_environment flask_web_framework generative ai cascading style_sheets_css unit_testing jupyter bootstrap_frontend_framework software_design software_development_tools software_engineering responsive_web_design python_programming engineering_software machine_learning data_science,ibm ai developer,prompt_engineering software_development_life cycle large_language_modeling software_architecture chatgpt development_environment flask_web_framework generative ai cascading style_sheets_css unit_testing jupyter bootstrap_frontend_framework software_design software_development_tools software_engineering responsive_web_design python_programming engineering_software machine_learning data_science
ai in healthcare,stanford university,4.720323325635106,2165,beginner,specialization,three_to_six_months,feature engineering healthcare ethics pharmaceuticals data ethics clinical research health systems healthcare industry knowledge medical records unstructured data health care patient evaluation health informatics data mining clinical data management statistical machine learning applied machine learning electronic medical record machine learning artificial intelligence health technology,ai in healthcare,feature_engineering healthcare_ethics pharmaceuticals data_ethics clinical_research health_systems healthcare_industry_knowledge medical_records unstructured_data health_care patient_evaluation health_informatics data_mining clinical_data_management statistical_machine learning applied machine_learning electronic medical_record machine_learning artificial_intelligence health_technology,ai healthcare,feature_engineering healthcare_ethics pharmaceuticals data_ethics clinical_research health_systems healthcare_industry_knowledge medical_records unstructured_data health_care patient_evaluation health_informatics data_mining clinical_data_management statistical_machine learning applied machine_learning electronic medical_record machine_learning artificial_intelligence health_technology,ai healthcare,feature_engineering healthcare_ethics pharmaceutical data_ethics clinical_research health_systems healthcare_industry_knowledge medical_record unstructured_data health_care patient_evaluation health_informatics data_mining clinical_data_management statistical_machine learning applied machine_learning electronic medical_record machine_learning artificial_intelligence health_technology
data science foundations,university of london ibm ibm,4.62096941831378,113532,beginner,specialization,three_to_six_months,dashboard pseudocode jupyter algorithms data literacy data mining pandas python package data visualization software correlation analysis web scraping numpy python programming probability statistics predictive modeling computer programming tools data science machine learning algorithms unsupervised learning machine learning project management,data_science foundations,dashboard pseudocode jupyter algorithms_data literacy_data_mining pandas python_package data_visualization_software correlation_analysis web scraping numpy python_programming probability_statistics predictive_modeling computer_programming_tools data science_machine learning_algorithms unsupervised learning_machine_learning project_management,data_science foundations,dashboard pseudocode jupyter algorithms_data literacy_data_mining pandas python_package data_visualization_software correlation_analysis web scraping numpy python_programming probability_statistics predictive_modeling computer_programming_tools data science_machine learning_algorithms unsupervised learning_machine_learning project_management,data_science foundation,dashboard pseudocode jupyter algorithms_data literacy_data_mining panda python_package data_visualization_software correlation_analysis web scraping numpy python_programming probability_statistics predictive_modeling computer_programming_tools data science_machine learning_algorithms unsupervised learning_machine_learning project_management
ibm full stack software developer,ibm,4.601036936389317,55934,beginner,professional certificate,three_to_six_months,prompt engineering istio software development life cycle nodejs kubernetes cloud computing architecture server side application deployment react redux cloud services django web framework software architecture objectrelational mapping git version control system flask web framework fullstack web development cascading style sheets css cloud computing jupyter engineering software,ibm full stack software developer,prompt_engineering istio software_development_life cycle nodejs kubernetes cloud computing_architecture server side application_deployment react redux cloud_services django web_framework software_architecture objectrelational_mapping git version_control_system flask_web_framework fullstack_web_development cascading style_sheets_css cloud_computing jupyter engineering_software,ibm full stack software developer,prompt_engineering istio software_development_life cycle nodejs kubernetes cloud computing_architecture server side application_deployment react redux cloud_services django web_framework software_architecture objectrelational_mapping git version_control_system flask_web_framework fullstack_web_development cascading style_sheets_css cloud_computing jupyter engineering_software,ibm full stack software developer,prompt_engineering istio software_development_life cycle nodejs kubernetes cloud computing_architecture server side application_deployment react redux cloud_services django web_framework software_architecture objectrelational_mapping git version_control_system flask_web_framework fullstack_web_development cascading style_sheets_css cloud_computing jupyter engineering_software
ibm ai product manager,ibm skillup edtech,4.698552081832592,27764,beginner,professional certificate,three_to_six_months,prompt engineering generative ai new product development product management product lifecycle management product development innovation product roadmaps chatgpt product planning commercialization artificial intelligence product strategy project management life cycle openai stakeholder engagement stakeholder management competitive analysis product testing business development,ibm ai product manager,prompt_engineering_generative ai new_product development_product_management product_lifecycle management_product_development innovation product roadmaps chatgpt product planning commercialization artificial_intelligence product_strategy project_management_life cycle openai stakeholder_engagement stakeholder_management competitive analysis_product_testing business_development,ibm ai product manager,prompt_engineering_generative ai new_product development_product_management product_lifecycle management_product_development innovation product roadmaps chatgpt product planning commercialization artificial_intelligence product_strategy project_management_life cycle openai stakeholder_engagement stakeholder_management competitive analysis_product_testing business_development,ibm ai product manager,prompt_engineering_generative ai new_product development_product_management product_lifecycle management_product_development innovation product roadmaps chatgpt product planning commercialization artificial_intelligence product_strategy project_management_life cycle openai stakeholder_engagement stakeholder_management competitive analysis_product_testing business_development
ibm devops and software engineering,ibm,4.625670283283317,60646,beginner,professional certificate,three_to_six_months,user story cicd istio open web application security project owasp software development life cycle continuous integration linux commands kubernetes cloud computing architecture application deployment test driven development tdd gherkin scripting language jenkins git version control system flask web framework devops jupyter grafana software engineering application development,ibm devops and software_engineering,user_story cicd istio open_web application_security_project owasp software_development_life cycle continuous_integration linux commands kubernetes cloud computing_architecture application_deployment test driven_development tdd gherkin scripting_language jenkins git version_control_system flask_web_framework devops jupyter grafana software engineering_application development,ibm devops software_engineering,user_story cicd istio open_web application_security_project owasp software_development_life cycle continuous_integration linux commands kubernetes cloud computing_architecture application_deployment test driven_development tdd gherkin scripting_language jenkins git version_control_system flask_web_framework devops jupyter grafana software engineering_application development,ibm devops software_engineering,user_story cicd istio open_web application_security_project owasp software_development_life cycle continuous_integration linux command kubernetes cloud computing_architecture application_deployment test driven_development tdd gherkin scripting_language jenkins git version_control_system flask_web_framework devops jupyter grafana software engineering_application development
business foundations,university of pennsylvania,4.705890810180688,25735,beginner,specialization,three_to_six_months,operations management return on investment operational efficiency financial statements financial statement analysis finance human capital go to market strategy process analysis branding process management people management financial reporting capital budgeting financial accounting financial modeling marketing marketing planning peer review corporate finance,business foundations,operations_management return on investment operational_efficiency financial_statements financial_statement_analysis finance human_capital go to market_strategy process_analysis branding process management_people_management financial_reporting capital budgeting financial_accounting financial_modeling marketing_marketing planning_peer review corporate_finance,business foundations,operations_management return investment operational_efficiency financial_statements financial_statement_analysis finance human_capital go market_strategy process_analysis branding process management_people_management financial_reporting capital budgeting financial_accounting financial_modeling marketing_marketing planning_peer review corporate_finance,business foundation,operations_management return investment operational_efficiency financial_statement financial_statement_analysis finance human_capital go market_strategy process_analysis branding process management_people_management financial_reporting capital budgeting financial_accounting financial_modeling marketing_marketing planning_peer review corporate_finance
data science fundamentals with python and sql,ibm,4.564620012754044,72134,beginner,specialization,three_to_six_months,dashboard sql descriptive statistics jupyter statistical analysis data analysis probability distribution pandas python package data visualization software statistics data visualization statistical hypothesis testing databases regression analysis stored procedure python programming data science data structures computer programming tools data analysis software,data_science fundamentals with python and sql,dashboard sql descriptive_statistics jupyter statistical_analysis_data analysis probability_distribution pandas python_package data_visualization_software statistics data_visualization statistical_hypothesis_testing databases regression_analysis stored_procedure python_programming_data science data_structures computer_programming_tools data_analysis_software,data_science fundamentals python sql,dashboard sql descriptive_statistics jupyter statistical_analysis_data analysis probability_distribution pandas python_package data_visualization_software statistics data_visualization statistical_hypothesis_testing databases regression_analysis stored_procedure python_programming_data science data_structures computer_programming_tools data_analysis_software,data_science fundamental python sql,dashboard sql descriptive_statistics jupyter statistical_analysis_data analysis probability_distribution panda python_package data_visualization_software statistic data_visualization statistical_hypothesis_testing database regression_analysis stored_procedure python_programming_data science data_structure computer_programming_tools data_analysis_software
ibm backend development,ibm,4.604353460494875,49386,beginner,professional certificate,three_to_six_months,istio open web application security project owasp software development life cycle linux commands kubernetes application deployment nosql bash scripting language mongodb shell script django web framework software architecture objectrelational mapping development environment git version control system flask web framework jupyter grafana microservices python programming,ibm backend development,istio open_web application_security_project owasp software_development_life cycle linux commands kubernetes application_deployment nosql bash_scripting_language mongodb shell_script django web_framework software_architecture objectrelational_mapping development_environment git version_control_system flask_web_framework jupyter grafana microservices python_programming,ibm backend development,istio open_web application_security_project owasp software_development_life cycle linux commands kubernetes application_deployment nosql bash_scripting_language mongodb shell_script django web_framework software_architecture objectrelational_mapping development_environment git version_control_system flask_web_framework jupyter grafana microservices python_programming,ibm backend development,istio open_web application_security_project owasp software_development_life cycle linux command kubernetes application_deployment nosql bash_scripting_language mongodb shell_script django web_framework software_architecture objectrelational_mapping development_environment git version_control_system flask_web_framework jupyter grafana microservices python_programming
microsoft power bi data analyst,microsoft,4.6402871065455,7593,beginner,professional certificate,three_to_six_months,power bi microsoft excel data analysis data visualization data storage data collection data quality business intelligence microsoft power platform advanced analytics database design statistical reporting statistical visualization analytical skills data integration business reporting data storage technologies sql microsoft sql servers data security,microsoft power bi data analyst,power bi microsoft excel data analysis_data_visualization data_storage data_collection_data quality business_intelligence microsoft power platform advanced_analytics database_design statistical_reporting statistical_visualization analytical_skills data_integration business reporting data_storage_technologies sql microsoft sql servers data_security,microsoft power bi data analyst,power bi microsoft excel data analysis_data_visualization data_storage data_collection_data quality business_intelligence microsoft power platform advanced_analytics database_design statistical_reporting statistical_visualization analytical_skills data_integration business reporting data_storage_technologies sql microsoft sql servers data_security,microsoft power bi data analyst,power bi microsoft excel data analysis_data_visualization data_storage data_collection_data quality business_intelligence microsoft power platform advanced_analytics database_design statistical_reporting statistical_visualization analytical_skills data_integration business reporting data_storage_technologies sql microsoft sql server data_security
introduction to data science,ibm,4.633733183180164,99454,beginner,specialization,three_to_six_months,sql jupyter data literacy data mining peer review data modeling databases stored procedure relational databases database design query languages data science database management big data computer programming tools data analysis software data cleansing software development tools cloud computing python programming,introduction to data_science,sql jupyter data literacy_data_mining peer_review_data modeling databases stored_procedure relational databases_database design query_languages data_science database_management big_data computer_programming_tools data_analysis_software data_cleansing software_development_tools cloud_computing python_programming,introduction data_science,sql jupyter data literacy_data_mining peer_review_data modeling databases stored_procedure relational databases_database design query_languages data_science database_management big_data computer_programming_tools data_analysis_software data_cleansing software_development_tools cloud_computing python_programming,introduction data_science,sql jupyter data literacy_data_mining peer_review_data modeling database stored_procedure relational databases_database design query_language data_science database_management big_data computer_programming_tools data_analysis_software data_cleansing software_development_tools cloud_computing python_programming
ibm data analytics with excel and r,ibm,4.73211171096346,28896,beginner,professional certificate,three_to_six_months,data storytelling interactive data visualization data visualization software data visualization shiny r package data wrangling exploratory data analysis relational databases big data ggplot database design data analysis ibm cognos analytics data presentation data mining dashboard excel formulas data manipulation web scraping microsoft excel,ibm data analytics with excel and r,data storytelling interactive_data visualization_data_visualization software_data_visualization shiny r package_data wrangling exploratory_data_analysis relational databases big_data ggplot database_design_data analysis ibm cognos analytics data_presentation_data mining dashboard excel_formulas data_manipulation web scraping microsoft excel,ibm data analytics excel r,data storytelling interactive_data visualization_data_visualization software_data_visualization shiny r package_data wrangling exploratory_data_analysis relational databases big_data ggplot database_design_data analysis ibm cognos analytics data_presentation_data mining dashboard excel_formulas data_manipulation web scraping microsoft excel,ibm data analytics excel r,data storytelling interactive_data visualization_data_visualization software_data_visualization shiny r package_data wrangling exploratory_data_analysis relational database big_data ggplot database_design_data analysis ibm cognos analytics data_presentation_data mining dashboard excel_formulas data_manipulation web scraping microsoft excel
applied data science,ibm,4.587889842875083,58934,beginner,specialization,three_to_six_months,exploratory data analysis data wrangling dashboard data visualization software plotly data visualization interactive data visualization data transformation data analysis data cleansing data manipulation jupyter matplotlib data importexport pandas python package predictive modeling data science python programming data structures machine learning,applied data_science,exploratory_data_analysis data wrangling dashboard data_visualization_software plotly data_visualization interactive_data_visualization data_transformation_data analysis data_cleansing data_manipulation jupyter matplotlib data_importexport pandas python_package predictive_modeling_data science_python programming_data_structures machine_learning,applied data_science,exploratory_data_analysis data wrangling dashboard data_visualization_software plotly data_visualization interactive_data_visualization data_transformation_data analysis data_cleansing data_manipulation jupyter matplotlib data_importexport pandas python_package predictive_modeling_data science_python programming_data_structures machine_learning,applied data_science,exploratory_data_analysis data wrangling dashboard data_visualization_software plotly data_visualization interactive_data_visualization data_transformation_data analysis data_cleansing data_manipulation jupyter matplotlib data_importexport panda python_package predictive_modeling_data science_python programming_data_structures machine_learning
data analysis and visualization foundations,ibm,4.739442773241659,27924,beginner,specialization,three_to_six_months,data storytelling data visualization big data data visualization software data analysis dashboard ibm cognos analytics statistical analysis data mining apache hadoop tree maps excel formulas data wrangling apache hive data collection data mart data science microsoft excel data quality data cleansing,data_analysis and visualization foundations,data storytelling data_visualization big_data data_visualization_software data analysis_dashboard ibm cognos analytics statistical_analysis_data mining apache hadoop tree maps excel_formulas data wrangling apache hive data_collection_data mart data_science microsoft excel data_quality_data cleansing,data_analysis visualization foundations,data storytelling data_visualization big_data data_visualization_software data analysis_dashboard ibm cognos analytics statistical_analysis_data mining apache hadoop tree maps excel_formulas data wrangling apache hive data_collection_data mart data_science microsoft excel data_quality_data cleansing,data_analysis visualization foundation,data storytelling data_visualization big_data data_visualization_software data analysis_dashboard ibm cognos analytics statistical_analysis_data mining apache hadoop tree map excel_formulas data wrangling apache hive data_collection_data mart data_science microsoft excel data_quality_data cleansing
applied software engineering fundamentals,ibm,4.609548614714124,48185,beginner,specialization,three_to_six_months,software development life cycle linux commands bash scripting language shell script software architecture development environment git version control system github flask web framework unit testing version control file management engineering software jupyter unix shell software design linux application deployment python programming data structures,applied software_engineering fundamentals,software_development_life cycle linux commands bash_scripting_language shell_script software_architecture development_environment git version_control_system github flask_web_framework unit_testing version_control file management_engineering software jupyter unix shell software_design linux application_deployment python programming_data_structures,applied software_engineering fundamentals,software_development_life cycle linux commands bash_scripting_language shell_script software_architecture development_environment git version_control_system github flask_web_framework unit_testing version_control file management_engineering software jupyter unix shell software_design linux application_deployment python programming_data_structures,applied software_engineering fundamental,software_development_life cycle linux command bash_scripting_language shell_script software_architecture development_environment git version_control_system github flask_web_framework unit_testing version_control file management_engineering software jupyter unix shell software_design linux application_deployment python programming_data_structures
